Unnamed: 0,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
509,4,Road,0.0,0.2,0.0,0.0,0.0,0.2,JD Davison,,1631120.0,-43.8,0.0,0.125,0.25,0.0,0.0
512,69,ALL,3.8,2.2,0.5,0.3,0.3,0.6,JT Thor,CHO,1630550.0,-7.5,0.035,0.115,0.13,0.506,0.054
514,34,Home,3.9,2.2,0.4,0.3,0.3,0.5,JT Thor,,1630550.0,-8.9,0.026,0.112,0.12,0.512,0.04
513,35,Road,3.7,2.2,0.6,0.3,0.4,0.7,JT Thor,,1630550.0,-6.0,0.047,0.118,0.141,0.5,0.069
517,61,ALL,26.2,5.9,8.1,1.1,0.3,3.4,Ja Morant,MEM,1629630.0,7.3,0.029,0.139,0.338,0.557,0.412
516,31,Home,27.0,6.5,8.2,1.3,0.3,3.2,Ja Morant,,1629630.0,13.3,0.031,0.157,0.347,0.556,0.402
515,30,Road,25.3,5.2,8.0,0.9,0.2,3.6,Ja Morant,,1629630.0,1.2,0.027,0.121,0.329,0.558,0.422
518,57,ALL,6.4,3.6,0.9,0.4,0.4,0.9,JaMychal Green,GSW,203210.0,-8.2,0.087,0.164,0.169,0.65,0.094
521,42,ALL,4.4,2.5,0.3,0.1,0.6,0.9,JaVale McGee,DAL,201580.0,-7.3,0.086,0.199,0.214,0.65,0.051
519,17,Home,3.6,2.0,0.2,0.1,0.8,0.8,JaVale McGee,,201580.0,-8.9,0.027,0.201,0.204,0.632,0.048
520,25,Road,5.0,2.9,0.3,0.1,0.5,0.9,JaVale McGee,,201580.0,-6.3,0.113,0.197,0.219,0.66,0.053
522,79,ALL,12.8,7.2,1.3,0.5,0.9,1.3,Jabari Smith Jr.,HOU,1631095.0,-11.3,0.047,0.18,0.183,0.514,0.059
524,40,Home,12.4,7.2,1.2,0.4,1.0,1.3,Jabari Smith Jr.,,1631095.0,-5.7,0.043,0.178,0.177,0.514,0.055
523,39,Road,13.2,7.2,1.3,0.6,0.8,1.4,Jabari Smith Jr.,,1631095.0,-17.0,0.05,0.182,0.189,0.513,0.062
525,56,ALL,3.9,2.3,0.6,0.2,0.2,0.5,Jabari Walker,POR,1631133.0,-9.0,0.074,0.135,0.164,0.496,0.08
526,28,Home,4.4,1.9,0.6,0.1,0.2,0.4,Jabari Walker,,1631133.0,-18.8,0.053,0.127,0.166,0.553,0.081
527,28,Road,3.3,2.8,0.6,0.2,0.2,0.6,Jabari Walker,,1631133.0,0.8,0.095,0.143,0.163,0.436,0.079
